epoch,step,phase,train_loss,loss_sent,loss_prosody,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
13,450,train,0.003065,0.000865,0.263774,,,,,,,,,,,,,,,,,,,,,
13,500,train,0.003060,0.003960,0.163612,,,,,,,,,,,,,,,,,,,,,
13,550,train,0.003182,0.005039,0.248112,,,,,,,,,,,,,,,,,,,,,
13,600,train,0.003725,0.003631,0.226439,,,,,,,,,,,,,,,,,,,,,
13,end,val,,,,0.010293,0.073229,0.077743,0.064032,0.064394,0.641495,0.107286,0.111208,0.092844,0.093130,0.644102,0.735377,0.712585,0.779745,0.776030,-0.023621,0.739015,0.695554,0.793543,0.784961,-0.058881
14,50,train,0.002885,0.002447,0.179442,,,,,,,,,,,,,,,,,,,,,
14,100,train,0.003167,0.006572,0.209656,,,,,,,,,,,,,,,,,,,,,
14,150,train,0.003381,0.001921,0.209201,,,,,,,,,,,,,,,,,,,,,
14,200,train,0.002924,0.003830,0.247978,,,,,,,,,,,,,,,,,,,,,
14,250,train,0.003334,0.004246,0.254208,,,,,,,,,,,,,,,,,,,,,
14,300,train,0.003463,0.002995,0.287734,,,,,,,,,,,,,,,,,,,,,
14,350,train,0.003473,0.004207,0.241215,,,,,,,,,,,,,,,,,,,,,
14,400,train,0.002973,0.001731,0.204981,,,,,,,,,,,,,,,,,,,,,
14,450,train,0.003116,0.004170,0.232101,,,,,,,,,,,,,,,,,,,,,
14,500,train,0.003165,0.006761,0.311422,,,,,,,,,,,,,,,,,,,,,
14,550,train,0.003492,0.003225,0.181098,,,,,,,,,,,,,,,,,,,,,
14,600,train,0.003139,0.001850,0.262728,,,,,,,,,,,,,,,,,,,,,
14,end,val,,,,0.011351,0.079455,0.083201,0.067530,0.066794,0.634647,0.114720,0.117378,0.096185,0.096000,0.637914,0.727719,0.703320,0.781152,0.777639,-0.018447,0.734556,0.694259,0.788659,0.781973,-0.050918
15,50,train,0.002750,0.002662,0.297773,,,,,,,,,,,,,,,,,,,,,
15,100,train,0.003542,0.003003,0.179925,,,,,,,,,,,,,,,,,,,,,
15,150,train,0.004025,0.005125,0.230986,,,,,,,,,,,,,,,,,,,,,
15,200,train,0.002998,0.002258,0.357418,,,,,,,,,,,,,,,,,,,,,
15,250,train,0.002853,0.006526,0.178142,,,,,,,,,,,,,,,,,,,,,
15,300,train,0.002973,0.003304,0.197253,,,,,,,,,,,,,,,,,,,,,
15,350,train,0.002942,0.001677,0.135588,,,,,,,,,,,,,,,,,,,,,
15,400,train,0.003163,0.001350,0.170044,,,,,,,,,,,,,,,,,,,,,
15,450,train,0.002937,0.002968,0.227389,,,,,,,,,,,,,,,,,,,,,
15,500,train,0.002798,0.002269,0.262755,,,,,,,,,,,,,,,,,,,,,
15,550,train,0.003099,0.003117,0.224366,,,,,,,,,,,,,,,,,,,,,
15,600,train,0.002726,0.002257,0.219796,,,,,,,,,,,,,,,,,,,,,
15,end,val,,,,0.010292,0.075249,0.079120,0.061965,0.062931,0.609264,0.110312,0.114023,0.088619,0.090240,0.612199,0.728000,0.703287,0.783271,0.779818,-0.038786,0.736844,0.699437,0.790063,0.783288,-0.067398
16,50,train,0.002362,0.002360,0.202431,,,,,,,,,,,,,,,,,,,,,
16,100,train,0.002373,0.002909,0.158888,,,,,,,,,,,,,,,,,,,,,
16,150,train,0.002566,0.001936,0.226824,,,,,,,,,,,,,,,,,,,,,
16,200,train,0.003160,0.003665,0.207690,,,,,,,,,,,,,,,,,,,,,
16,250,train,0.002733,0.002040,0.233186,,,,,,,,,,,,,,,,,,,,,
16,300,train,0.002916,0.004357,0.166320,,,,,,,,,,,,,,,,,,,,,
16,350,train,0.002885,0.002113,0.202120,,,,,,,,,,,,,,,,,,,,,
16,400,train,0.002693,0.003782,0.163337,,,,,,,,,,,,,,,,,,,,,
16,450,train,0.002715,0.002656,0.174931,,,,,,,,,,,,,,,,,,,,,
16,500,train,0.002657,0.003505,0.227379,,,,,,,,,,,,,,,,,,,,,
16,550,train,0.003183,0.002168,0.199589,,,,,,,,,,,,,,,,,,,,,
16,600,train,0.003352,0.004857,0.180572,,,,,,,,,,,,,,,,,,,,,
16,end,val,,,,0.010732,0.075729,0.082315,0.062756,0.063821,0.620227,0.111900,0.117821,0.090181,0.091603,0.623102,0.721777,0.693482,0.774684,0.771082,-0.018068,0.732238,0.688819,0.785071,0.783338,-0.048562
17,50,train,0.002424,0.001011,0.180452,,,,,,,,,,,,,,,,,,,,,
17,100,train,0.002630,0.001944,0.246724,,,,,,,,,,,,,,,,,,,,,
17,150,train,0.002532,0.002022,0.247769,,,,,,,,,,,,,,,,,,,,,
17,200,train,0.002703,0.003771,0.222935,,,,,,,,,,,,,,,,,,,,,
